Folder,Video,pixel_surface,color,shape,frequency,pp1,pp2,pp3,pp4,pp5,pp6
Experiment_2,2x2_pixel_surface_20000_color_mode_green_frequency_25_shape_squares_coordinate_(480_270).mp4,20000,green,squares,25,[3.12037348 1.71213999 0.98037658],[7.52245678 0.23546826 0.7119251 ],[0.46651844 2.7005089  2.10456562],[4.44724426 4.54967099 1.87321483],[2.37510372 5.18184461 7.90529394],[ 1.08303725  0.47125648 10.62764937]
Experiment_2,2x2_pixel_surface_30000_color_mode_white_frequency_19_shape_squares_coordinate_(480_810).mp4,30000,white,squares,19,[2.56839102 0.78214749 2.45368538],[12.18357468  6.07245461  2.29657808],[6.27319877 1.69273397 1.78387036],[ 6.55595348 11.38960347  1.72375726],[8.20436222 2.3985091  1.16673145],[7.99026899 4.53528418 6.47136066]
Experiment_2,2x2_pixel_surface_20000_color_mode_white_frequency_19_shape_squares_coordinate_(1440_270).mp4,20000,white,squares,19,[2.46058787 3.94595049 3.03204987],[11.88034182 19.28739995  5.47300923],[6.78725578 4.73421461 0.1989468 ],[1.12111249 3.90614006 4.45223251],[1.73386275 7.59432816 1.79833552],[2.06799868 3.65735437 0.48822   ]
Experiment_2,2x2_pixel_surface_30000_color_mode_white_frequency_8_shape_squares_coordinate_(1440_270).mp4,30000,white,squares,8,[7.43059593 2.2904263  1.66200139],[13.20070808  6.70161022  3.65975633],[0.83216868 0.85920143 1.1095616 ],[2.62853907 4.1865099  3.7213751 ],[1.08948755 2.66840258 2.9557624 ],[0.40233867 1.69295976 1.22281966]
Experiment_2,2x2_pixel_surface_10000_color_mode_white_frequency_13_shape_squares_coordinate_(1440_270).mp4,10000,white,squares,13,[1.90045917 0.71913659 1.96307116],[2.37223318 3.28395062 0.54470045],[0.88554118 1.35785098 2.26318873],[4.07451518 4.53692321 1.39962041],[0.85781462 2.66835612 3.02272264],[2.60584663 1.32884084 1.25149247]
Experiment_2,2x2_pixel_surface_30000_color_mode_green_frequency_8_shape_squares_coordinate_(480_810).mp4,30000,green,squares,8,[3.93463205 1.58121133 1.10348871],[ 3.29812656 21.29819485 11.30779054],[1.67715166 4.76714496 0.25462362],[2.18662913 1.41213459 2.89998524],[3.22715896 0.82629872 2.20736233],[3.05476305 0.89153829 2.85606389]
Experiment_2,2x2_pixel_surface_20000_color_mode_green_frequency_13_shape_squares_coordinate_(1440_810).mp4,20000,green,squares,13,[0.22882474 0.63611303 2.24596481],[3.17187161 4.85737582 6.50080301],[2.9733626  1.38958785 1.3476103 ],[1.02851194 5.07993829 1.90716057],[2.16990031 4.23528318 1.57808055],[0.31705686 0.61250922 0.73314855]
Experiment_2,2x2_pixel_surface_20000_color_mode_white_frequency_13_shape_squares_coordinate_(1440_810).mp4,20000,white,squares,13,[ 5.90031748 12.53399184  0.74316699],[7.31809486 5.88637338 0.87405794],[5.94523284 0.27028178 2.54089256],[0.79008367 1.35787472 1.90360021],[2.6287415  2.60684415 3.79164531],[2.95654063 2.6690653  2.98478116]
Experiment_2,2x2_pixel_surface_20000_color_mode_green_frequency_19_shape_squares_coordinate_(1440_810).mp4,20000,green,squares,19,[2.45999803 3.66734954 1.49108569],[9.14243758 1.73027562 1.71318187],[0.83115846 1.0568041  4.52609466],[2.36033447 2.34391535 2.30077182],[1.14731976 2.2318901  6.39568456],[1.98255914 1.03329993 6.9871195 ]
Experiment_2,2x2_pixel_surface_20000_color_mode_white_frequency_25_shape_squares_coordinate_(480_810).mp4,20000,white,squares,25,[7.32263362 0.87183858 3.20224173],[2.28736189 2.75030039 2.74322565],[5.31851948 3.07706206 2.5617559 ],[2.98575136 0.83725561 1.69628454],[ 1.42149296 13.22509451 10.81982969],[0.43432931 0.66933979 5.59976025]
